OCR,Sentiment
#४ ! Xl ! Zl DLiZ Beta bharose wale ko bhosdi wala banke bhasudi failaane me der nahi lagti,Negative
Hhajakh miia ganD,Negative
When My Best Friend was Born!! Yeb Ghutla H Banega,Positive
"Bhai tera fake Id kaise chal rahi hai? O:0ब PM Bhai mene ladkiyo ki fake Id chalana bandh kardi १०:०२ Piv Kyu bhai ? 10:0२ PM Bhai ladki se baat ho rahi thi kaafi waqt se,aur mujhe usse pyaar hogaya tha phir mene usse bataya ki mein ladka hu १०:०५ Pii Siien Phir kya hua bhai O:०5 PM Pata chala woh bhi ladka hai १०:०६ Pivi bc Are",Positive
Ch tra Hal te lmportart Dahi Hal Hamam Ladla Har yelmportamt Ial,Negative
Mera Bucky Unotiicial Tto Mama J० Na nache Mera Ghoda Behanka (oda,Negative
"ZIYDGI HE3 CHEEJE HAMESHAAATI RAHEGI UHU न"" MINA TI GiUUL OG:UTLE TITU",Negative
"पिंकी और उसकी 2 सहेलियां क्लास में बातें कर रही थी| टिंकीः मैंने सर के टेबल पर कंडोम देखा| रिंकीः मैंने तो उसमें सुराख (छेद) कर दिया था| पिंकीः मरवा दिया ना, ओह, कुत्ती|.",Neutral
"4[""-00--|] [:-700+01 """"117[78 LVautiuuuuut motw mruuio o mat ?m0tlbon- -llt0ाi+ [""17=0[ AL Plieacllutult ErtleratlTle TITa-Lै"" ttrwan dtriu",Negative
"आज का कुविचार बुद्धि चड्डी जैसी होती है॰ होनी ज़रूरी है दिखानी नही. चूतियापंती ब्रा जैसी होती है, दिखानी नही भी हो तो भी दिख जाती है. और गलती गाँड की तरह होती है, खुद की दिखती नही पर दूसरों की जरूर दिखती है |",Negative
BEFOREEXAM भाइ कुछ नही पढा मैन इस बारपक्का फेॅल हूँ MYIEND Titu Mama AFTER RESULT# भाई ८०% आएहैं 0 me भडवे ओरे भडवे कहाँ से आया है रे तूi UnokQicial,Positive
Uofiicial Tit Ban ja Mera chela Tujhe Bohut Kuch sil Nera Lind Dekh Kar Teri Huine Isi se ChFovana -Titu #Eolit TBoht,Negative
MEGHNA SRIVASTAV TOPPED २०१8 CBSE RESULTS WITH 99.8% (499|500 MARKS) BGIO DEeDODERSIO DIIIE TITU DADiA,Negative
"देना है लंड दान में, देना है लंड दान में, ये दोस्त है कोई चुत ध्यान में, अगर नही है तो ये ग़म का घुट भी पीले लेंगे , तेरी गांड मारकर ही जी लेंगे",Negative
Name the male reproductive organ Matlab? Lawda Name the male reproductive organ Bittu ka Lawda Matlab mera,Negative
"tumlog 2OOxunitoh bbanalogena ""0G^ IROGN banadia banchoc",Negative
When my friend cancell a plan at last moment my Reacilon TJuuflicinka Bhosdllka,Negative
Sir yeh Baal bhi aap hi jectoge Hhmn munlun dhal Dpne +1000171- 01-01201]1[2004011|,Negative
"l७ JMenesKa Virus oesa be be साद३च0 Aajkal Asblil जeels obi bhejta Sudhar gya kya' """,Neutral
@xerosymbioto Damn Shawty छोटी advance pi pike Fefde चुद गये,Negative
DIL KAI ARHAAH AANSUO HE BEH CAYE BHUVYON ' UBU GHOSA Bl LE GI Oः EUJ EIIQ EILLIEE BaI GIEEa TITU MIDA,Negative
ve Iya banaya hai bhosadike terima ki chtotteen hbaan,Negative
जब आपका कॉन्वेंट वाला उद्दंड मित्र फ़ालतू बकैती पेल रहा हो और आप उसे जानबुझ कर सरकारी विद्यालय के हरामी लोंडों के पास भेज दें और वह अगले दिन गांड़ के बल कक्षा में बैठ ना पाए और ना ही किसी को बता पाए @hindimemesangh [अकेले मजा लेते आप ],Negative
Aunty toda TElsmflega boyfriendayalal २२ 5etoaahihaMia NElejaod2 111d atघ PKODEbananelai Behentlodlat,Negative
२ lnes f७r Dly Son बum @huflya frlane] Unokkicial TiL Mama Mutth MaresMutth Maae Mera Iharki tharki Beta,Negative
CHUTIYI KONHOIDINII Oraleen bahlya LONUUISS EEPD LDUICh TUIIIYY,Negative
"David, Ieri ek friend hai Bohotachchhi friend hai Girlfriend jaisi friend hal lts complicated ZZn७ LMITWZ Beia, jhant bhar ke abbi sees bakchodi me mat pado, padhhal Lar l@ ho,",Negative
Baby i m having headache. lettne see wait . Share darnl looks painiul yess ZIrr LYYZYT CAND Ra JLZZJ KIYA JA GZRA EZZI CXNDU KA NARI okay,Negative
1[[]7 LAIA MACHI UhatiBlove Eu topeltd kar o to daba ke Ute dalnepar jab Eग़i avaj ati hal to UEe iltenetehain MICHI Bhag bhosadi ke love ki paribhasa Hi Gadalldl madarc * 0,Negative
| teri maa chpd dunga बख्ह मत खूछना मालूम नहीं मझे,Negative
"Tएण ma Lariut huo"" Iaala Llltilaup ritrmuEl 7 ""171801770111178000 Madarc# d C#tche bhi nahi dete",Negative
वो कहते हैन College walo ki maaka boSda toi सही कहते है,Negative
"SAALA JAB TAK HINDUSTAN MEE ROSE, TEDDY, PROPOSE CHOCOLATE DAY JAISE DIN CELEBRATE HONGE TAB TAKLOG CHUTIYE BANTE RAHEL IGE !",Negative
Bacho Isi ko Chutiya kente hain LDLINDIANCDM,Negative
Kab takaise ghutik jiyega mar iaभादरचा ghut,Negative
"शिक्षक- किसी को कुछ पूछना है? सर जी, पूछना हैl शिक्षक टीटू - सर जी , घोड़ी जानवर है या पोजीशन? शिक्षक( रोते हुए) तुम बहनचोद, सस्पेंड करवा के ही दम लोगे| टीटू पूछो",Positive
GRACE Tu रndi ke sabse Attach hojata hai,Negative
@shricasm_1००8 किस्मत मे लगे L@de की पता nhi कौन m@darchod जापानी तेल से मालिश kar raha hai,Negative
जो अपनी मोहब्बत को नर्हीं चोद पाते वो शायर बन के मोहब्बत की माँ चोद देते है,Negative
Niraj Goyal( @NirajGroyal७५ That Moment When.. Going Backward Forward Hurts Hurts 89 r8a qarcal3c And Standing Still Is Deadly. Navdeep Singh Phle yh btao is I#wde ko vha jake baithne ko bola kon? १ second ago Like Reply Message Going,Negative
"पत्नीः आज तीन डाकू आए और मेरी इज्ज़त लूट लीI पतिः तुमने उन्हें रोका नहीं? पत्नीः मैंने उन्हें बहुत रोका , लेकिन वो बोले "" अब हमें जाने दो, हम बहुत थक गए हैं॰"" 896",Positive
जिम जॉइन कियाः पप्पूः आज क्या मारूँ? ट्रेनरः कल क्या मारा था| पप्पूः मु...ट्...ठ! ट्रेनरः गां....ड मराले आज भो...सड़ी....वाले निकल यहाँ से!!! पप्पू ने,Negative
Uwokkicial Tit Mwa Jo ladkiyo se chutiya Katwaye U७ Wea Dlea Dost,Negative
Uofiicial Titi Agar Rap Behancho Behancho padh rah to chutiye caecl kiya sah 1 to padh Tit,Negative
neechekya pehna hai?,Negative
Oterl latestwhatsuppstutus blogspot com yeto miiisebhilada Guilta Dikla n,Negative
ShivomMisra अम्बाला श ANBALA CITY तमुन्ततनर अच ३8२ 5=२७ ८८ मो Ghaaiiselitlta Harara लelaf Uaf lab Aiahala Babita ka pDbal Vid hayakbanenge Kaala Cluiiya Saaia,Negative
"बोलो पेसिल पसिल अक दिन केॅसिल %%15## D ErinTial n शारस गोच की गली प गन चएग नकदिग एमाका णतनmनन बचा२w"" l चा १u ""l #ण",Neutral
Zere 2 achievements Chutiyon ko Bhakt banaya Bhakton ko Chutiya banaya,Negative
MEMESCH७OOL Shaki Khan,Positive
भोसढी Irike dilpe Iya Leetiee hegi JaD bus courductor kehta nona Bosdi wale utar Jaao,Neutral
वो कहते हैना College walo ki maaka boSda सही कहते है,Negative
Prostitutes Suffering from AIDS be like Chadesh Mujhe चोद kar jo tum jaoge Bada pachtaoge Bada pachtaoge.,Negative
"Yrr bhalDPal , SaX sUX ki baatcin",Negative
ZOः AAPKE BETE K० KUC: NZI HATH नृतृऋन YE ZS FATHER TABHI T० SC:OOL BEJTA HOON uप TU SIKAA NZ ऐC DLIA,Negative
see a Science St andwe Ore Randw ha se Aaya hai Re,Negative
Fatt gayi na CSK haiers? )C75K C0MED) The Wwthoot Chalo ab FIXING ka Randi Rona shuru karo Group,Negative
saience Siudends UDof ZGँal Zfftu UMatiia Riligion wala column jo hota hai usme hum Bold or Capital me Randwa Ikhte hai.,Negative
sir pehle mera beta raat me padhta tha pr ab wo raat me madlhc d behnc d aur pel do bolta ha Abhishek kumar @abhiiz६ 7 9 प्रधा मोर्ट ye PUBG wala hal kya,Negative
t० १०Lप RZ७ BAZD GCIENCE DEZE DZaYZi L७ CAANDUJ Zltतष,Negative
aldo fans now * Lo mai gyaan chodunga Ir[[1,Positive
"aElnor अम्बाला ANBALACITY Claatlcolhulta Crarhmohaf 7 ""77|7 relITlUEL |7::+*717 palllta ueainitrialatantine *1777 ""70![110 600",Positive
"Saala HildustalIeil jal tal fatebookt | hal 72|11105[|0,"".70 Ciptaite BahtIgt -log",Negative
८एा,Positive
paise kb waps kr ljoh Lunepaise diy Fha Coh tu bhuil jo b tu mera plikd IV Jhul jua *bc,Negative
"prasanna iyer @lyerPrasanna When she comes to know you are ""Fucking rich"" Dflcheezia hai @06a$0|000 Meri Gand llyee . App",Positive
Ciluiciuiyanat,Negative
परीक्षा में अधिक अंक लाता था इसलिए दोस्त ने कर दौ हत्या My topper frnd Me,Negative
pthile mcra lcta matue padlita tha peh to raat me(maahc rd bclind MUFI प्रध ye BG wala hal kya,Negative
"80""n Tunt Cnutiun tlac ङallultt Jo os Aiengerd EralGa ne YelBhaclletsaa Parelunto",Negative
Gandf Sola,Negative
If Thanos Was From Delhi StoneDe Dchanchud Ohailo Wtana 7_0,Negative
9m1 BSdk runs bhi mai hi maru lio or wickets bhi mai hi lu kya ? Just RCB things GiIU][(I२I,Negative
"Bachpan Me Agar Maa Ki Baat Suni Hotl Toh Aaj Yea Din Na Dekhna Padta. Kya Keheti Thi Maa... ?१ Jugde Sahab Bhi Jahilon Wali Baat Kar Rehe cab Baat Hi Nehi Suni Toh Kese Bataau Kya Keheti Thi. Aap |0,",Negative
"pranshuzdiwakar Jo Students Mazak Mazak me Science le lete hain na, Unka Result Bhusdam Bhusdu hoke Bhusdam Bhusdu ho jata hai.",Negative
ELLUJUHUIIULTIIUUUIIASLR IISTHSTZEORPQUEE,Positive
"private coachina Centers : mai logon ko bana deta hun People Whio _0750""0%%90:01]; AapnE Balii Lalia Daoluro ""1411:2112|!7 C""i07 |[]""[1 F% UiDu LU7;",Negative
३ Married Lady* First Mere Pati To Pura Hath Ghusa Dete Hai. Second- Mere To Pair Bhi. Teesri Apni Saari Uthake Boli: Aji... Bahar Niklo G,Negative
"वियाग्रा की 5 गोली खा कर २ घण्ठे तक गर्लफ्रेंड को चोदने के बाद सन्ता बोला सन्ता डार्लिंग अब तुम मुझे ३ घण्ठे तक देख नही पाओगी गर्लफ्रेंड क्यों कहि जा रहे हो क्या . ? सन्ता नहा जानू , अब पलट जाओ|",Neutral
".जिदंगीं के सात उसूल 1... और चिलम चाहें जितना पियों कभी जूठी नही होती, २...भजन , भोजन और चोदन हमेंशा एकाँत में ही करना चाहिए 3...फोडा़ घोड़ा औरलोडा़ सहलान से बढ़ता हैं ४...लंड और घमंड दोनो को काबू में रखना चाहिए 5...लडकी कितनी भी लम्बी क्यों ना हों लड चूसेगी तो बैंठ के ही , चुदेगी तो लेट के ही पाँप और चूत जहाँ भी दिखें मार दों ७...ताबिज और कंण्डोंम साथ मे रखा,च्या पता भूत और चूत कब और कहा मिल जाएँ . PAYBOYPLUB COM चूत चूची",Negative
पति और ससुर सुबह से नाश्ते के इंतजार में बैठे हैं और समय लंच का हो गया.. !,Neutral
"कल Mrs. वर्मा बाज़ार में मिल गई! हाल चाल के दौरान उन्होंने बताया, ""दोनों अब बड़े हो गए हैं, काबू में ही नहीं आते हैं!"" साला अब समझ नहीं आ रहा है वो किसकी बात कर रही थी! पूछने",Neutral
किसी के बर्थडे से याद आया कि बनाने वाले ने गुब्बारा भी क्या सोच कर बनाया होगा... कोई फुला के खुश है कोई फोड़ के खुश है तो कोई पह़न के खुश है.,Neutral
"जीतो ने हरे रंग का सूट पहना हुआ था| प्रीतो देखकर बोली, "" आज कल तो एकदम हरी फसल लग रही हो?"" जीतोः बहन, तेरा जीजा रात में दो बार पानी डालता है हरी क्यों न रहूं|",Negative
"बाबा रामदेवः आज की औरतें इतने कम कपड़ पहनती हैं कि उनकी ब्रा, टाँगे , पीठ का पूरा बदन दिखता ्ै! संता की आवाज आई, बाबा जी योगा कराओ सुबहनसुबह खड़ा मत कराओ",Positive
"एक बस में आदमी और औरत एक ही सीट पर बैठे होते है. आदमी औरत से पूछता है. आदमीः "" आपके कितने बच्चे है?"" औरतः ""मेरे १० बच्चे है"" आदमीः ""मतलब को आपकी जमीन अछी उपजाऊ है"" औरतः मेरी जमीन उपजाऊ नहीं , मेरा किसान मेहनती है""",Neutral
dikh iski ammako land hain,Negative
कोईभो Girl ki feeling नहा समन सक्नो Bo,Neutral
दो चीज़ें सबको भाती हैं बात ऊंची ऊंची और बड़ी बड़ी @व@ चूची! !,Neutral
Ladiaisopatao J० Room ka Jusaट Khud Kare,Neutral
Ie EZr LYZYZ Bhai Dina Bandf kailtaitna khuskesetehta hai Dited Inna Yaath Jattanath,Positive
Golu mafnetuhe9mahineapne petme takha tha.. Papa nebhi toitne saal muihe apne TATTO me rakho tha wo to kuch nahibolte mujhe Rarwali na beizzati. aur lele Golu se pange.,Positive
musical ly friend Har Nazarme Dumkn nahi Begunah tehna UnokLicial Titu Mama KuchHHaami Dost pata laga lete haik Chakkahai,Neutral
"यदि आपको सबसे संत दिखे है न दोस्त, तो स्वर्ग में आप मेरे पडोसी होंगे...! पहले",Positive
"जो औरत Male bestie बनाती है उचो औरत अपने घर के पतन की वजह बनती है"" आचार्य चाणक्य",Neutral
"औरत डॉक्टर से थकान बहुत होती डॉक्टरः- सेक्स कितना करती हो ? औरतः रोज डॉक्टरः- SUNDAY मत करो औरतः- हाय दईया... SUNDAY ही तो पति घर होते है, उन्हे कैसे मना करूँ? HindiPics com is ndi",Positive
रोड पे इतने गड्ढे हो गए है कि घर जाने के बाद और धक्के सहन नही होते| एक एक्टिवा चालक भाभी|,Neutral
Bonusmilah kya karu? GB Roadpejवb Fitara sirf GOORkobonus h.. Waha pe ३OOwalibilb.. २ baarjaosaktabtto.. Sahibaiyaar..,Negative
CSLY Bolo raru kya khabar laaye ho Medhanital brndimaek yi laki aa j hai ll,Negative
"dia Pictures gण I MylndiaPictu Women Can Gossip Anytime Anywhere, MylndiaPictures L0LI Anyplace",Positive
Bhail aajlEk Ladki Nai mपjhe lloveYou bola totokyurha hai tShGCl Unollicial Tiu baad mebollye prank tha Camera kaisaamne To tunekya ख़ya haathhila kai hi boldo tloteme tllgelm Camerakai saamne Bhag Chutiye Mutth Marne lagas Mama,Positive
पहलैे शादी कखकेबच्चे पैदाकर लूँगफ फिरSa७७७लैके B७६बनालूंगा MUSCGEBALI ISHQ NAHI DEADLIFT KAR० २:79,Neutral
"UIIIIO HUNLLDNINUhCNIIUNHII Uiulu PUULIINUIh [n [07||10017 110|1""""70*0[[|""1!17",Negative
जवानी में सबकी हालत एक सी होती हैl प्यार का नशा होता है रात में आखे खुली हुई होती हैI लडको के हाथ में लूली और लडकीयो के हाथ में मूली होती है.,Neutral
पz DYTYZ -प UsseKhilacolGappe ya khila Rs १२ Wall Maggi Par MereGhutlye Dost Wo tujhe fir Bhi फahi Deg,Neutral
Jo insaan Bukhar me bhi मुठ maar le 0 Toh samajh lo vo Zindagi ki har कठिन paristhiti se ladd skta hai. DANX दिचार,Positive
लोग कहते है सुबह सवेरे हंसी बिस्तर से उठना चाहिए बहनचोद यहाँ तो सुबह उठते ही पहली चिंता ये होती है कि लण्ड महाराज सोये तो हम उठ के कमरे से बाहर निकले खुशी Aindi 00 Non,Neutral
A Uott atol | कितना फ़ेकती है तू जा जाके सोजा.,Positive
"इसे केहते है ""खौफ"" एक medical store पर लङका : ५० कंडोम देना पास में खड़़ी 2 लड़कियाँ हँसने लगी | लङका : ५२ देना दोनो लड़किया गायब????????????",Negative
"दोस्त मिलने आये हैं पूछा अब कैसा लग रहा है, भाई ने बोला पहले से बेहतर. ?",Negative
Guys on Bike On the Road (Normally IzDkmln Passing By a Girl's House Tuni Hi Ho Ah Tum Ho ZInltagi ah Tumn Hi HO. Chain Bhi Ilera Dard Bhi Ileri Aashique Al Tum Hi HO. २km h,Negative
"LO bhai LLI Tmuith ImarLa ha Han Kitne leta hai 6 ""l ] $ 8 1 I<ya paise",Positive
९८ प्रतिशत लोगो की ख्वाहिश होती है कि वो इस तरह की इमारतों पर चढ़े,Neutral
"लड़की : एक पैकेट कंडोम का देना.. दुकानदार : कौन सी कंपनी का दुं "" बहन जी"" लड़की : अच्छा वाला देना , जिस से तेरी "" बहन"" की ईज्जत बनी रहे, मजा पुरा आये और तु मामा भी ना बने.",Neutral
*When a Birl reacts to my meme. Me: Pandit ko bula le Main shaadi karega,Positive
"जीतोः जरा ये ब्रा का हुक लगा दीजिये| संताः मैं इसके बदले 4 चुंबन ( किस ) लूंगा| जीतोः रहने दो, "" पड़ोसी से फ्री में लगवा लेती हूँ, वो हाथ डालकर सेट भी कर देगाI"" प्लीज़",Negative
Friend: Bhai koi jagah bata sahi se ghumne ke liye Meः लडपुर LUNDPUR रंडीगढ RAND TOARप बकचोदनगर चोटनपुर BAKCHODNAGAR CHODANPUR My,Neutral
"Ali @AleyFarooqq take a broken guy fix him ana he will love you forever 3K 431 638 3.4K Akhil Singh Take a broken girl, fix her. She will go back to the same guy again.",Negative
"दुल्हनः- आ आ.. दर्द हो रहा है, आराम से करो| दुल्हाः- कुछ नहीं होगा.. बस तुम १० तक गिनों.. मैं निकाल लूंगा दुल्हनः- १ २ आह़ ३ ४ ५ आह़ 6, ७, ओह़ 8, ओहो 8 वाओ, 8, 8, ७, ६, 5, 4.. !!",Neutral
ादमी की चह्ी एक मिठर की टुकान ली तप रोती र जिसम एल फlम रोन्न{ दो गुन्शा्{ सानुन @ढ सवषणा आर खुशी क Tir5 परखारभी सनानी,Positive
KUSHE cBBए PEGYAI ुO DझB dBGPPR ा ७० KAUNF खBDON७ PEGए H७ HADSA: JBCGD ७७n D७O KaDAPW L@,Positive
एक महिला सूट सिलवाने गयी | टेलर :- कैसी फिटिंग रखूं ? महिला ४- *पड़ोसी तड़प तड़प के ऐसी फिटिंग चाहिए* मुठ मारे,Positive
"Ladki kaate toh love bite.. ""Hum kaate toh १४ Sui lagwate ho"" (Waah re duniya) @lamethoughts",Positive
Jyada hila Liya bro @धbttsasmn ००8 Gbeecovemmkartahato,Negative
"जिंदा रहोगे तो आगे का हिस्सा भी देखने मिलेगा , घर पे रहो, सलामत रहो.",Positive
Sujit Singh @$_ sujit Girlfriend in Movies Dilbar Dilbar ..haa. Dilbar Dilbar Girlfriend in Real Life Bill Bhar Bill Bhar ..haa. Bill Bhar Bill Bhar for _,Negative
AEर UKCHOD| WOओ WHEGBS INA HI DZLO DRD HO EZEA PAl. JCHOD| TUM BOTHODAAUR PRAADE REHNA ! 0|#2,Negative
"आज की पत्नियों को ये समझ नहीं आता कि क्या करें? खराब कामवाली मिले तो खुद को काम करना पडता हैl और अगर अच्छी मिले तो, अ्पति काम कर जाता है॰""",Positive
मूठ Gym @dhucas 1008,Negative
@dttsasn m8 Bhai yakeen kar Wuth Walmuese hali@l ७bi Goi@ bव,Positive
जिंदगी उस मोड़ पर खड़ी है॰ जहाँ माँ भी पसंद है और उसकी भी| लड़की,Negative
of life Erlralt 6ati 28%00 711711 4 Sirl FAGTS fuck Birl love shel love shel fuck,Negative
"Ask a about his past relationship and he'll reply with ""thi ek"" e lamethought3 boy",Neutral
7:25 AN 0.0OK/s 2 4G ८t @%m*~=07 फईलकिय >हूड S% र्अल ऊपवी ce2कcल३ि,Neutral
Densogbave2moods GhlBiaafleasargeka Debbksle Gfga kskrkeDeasie eagenlaJitk@ saएskpantgclekiieb Sarcaडetoon,Negative
tu jis ladki ko impress karne ke liye kapde pehent hai wo kisi aur ke liye kapde utarti hai memesangathann याद रखना,Negative
"भाई एक बात याद रखना जो लड़कीबाज़ी में पड़ गया, उसकी Body कभी नहीं बनती MUSC EBADI IlllI|) % ( CPAUL ' = 7",Neutral
Student: Maam why gandhiji has no hair on his head? Techer Because of intelligence Student: Now understood why girls have long hair!,Neutral
"लड़कीः मैं तेरे लिये मर सकती हूँ..!! लड़काः वो छोड़, मरवा सकती है तो बता..",Negative
VURUTEDIOPI TUII TUHIEKYiKIiY,Negative
"मैनें पूछा, क्यूँ आयी हो मेरी ज़िंदगी में, ? वो पास आई और धीरे से बोली. OOPS! मरवाने OMG!",Negative
"कोई लड़की तो ऐसा कहतीं है कि ""मुझे रसोई नहीं आती.. "" मेरी मॉम ने मुझे सिखाया ही नहीं! उसे पूछना चाहतें है कि. ये लंड चूसना , लंड के ऊपर उछलना डोगी स्टाइल वगैरा किसने सिखाया ?!!",Negative
पुरुष मोह ही नर्क का द्वार है,Negative
बहुत शांति है dWay PI eI लगता है लडकियां Bartan maanj rahi है -,Negative
"Kya Keh Raha Hai? @haslo thodaa Keh Raha h: Chaaku kyu Chlati ho Jab dhaar h Talwaar me, Chuuchi kyu hilati to Jab Maal h Salwaar Me.",Negative
दो नंगी लड़कियो ने बैंक लूट लिया. फिर बहार आकर बोली. चलो अब कपडे पहन लेते है कोई पहचान नही पायेगा. क्योंकि किसी कमीने ने शकल तो देखि नही होगी .,Neutral
"Each Man Has His Own Values And Beliefs Rishabh Kaushik Follow @RishabhKaushikk Ladke hai hum, naam to humaara hi aata hai na Koi jaanwar kisi ki beti k sath khele, ilzaam to hum par hi aata hai na. Ki ek dum se generalize kar dia jaata hai, all men are Pr wafaadaari mein to us bezubaan se achha kon hi hai Najaane kyu pr duniya is bhedbhaav pr maun si hai Han har ladka to galat nahi hota, na har ladki sahi hoti hai Par samaaj mein najaane kitni hi buri baate kahi gayi hai. Zara unse to pucho, jo hume qareeb se jaante hai. Hum to apne dosto ki bhen ko b apni hi bhen maante hai. Najaane kitne hi rishte hum bakhoobi nibaate hai, Par ek galat ghatna, or hum sab hi ek jaise ho jaate hai. `I2iI GHUI[[ dog,",Neutral
HE PGD AURAD,Negative
CLIsODIOE Zlo OetueOlogisध OOn[a[ 0:17 Otl7,Neutral
"१९८० सुहाग रात से पहले दुल्हन को उसकी सहेली कहती थी ""चिल्लाना मत...वो जो करे करने देना"" २०१७ -सुहाग रात से पहले उसकी सहेली हैं ""जोर से चिल्लाना ...ताकि उसको लगे कि वो ही ओपनिंग बैट्समैन है."". RISHTA WAHI, SOCH NAYI कहती",Positive
5e8< Jab fak body ki Tum subah kab haddiya २०७ se wapas uthtebo? २०६ na ho jaye Pok Matlab? Kuch nahi Are..,Positive
MUSC EBALI Are Bsdk Trainer Bhaiya Ladkiyo se Fursat Mile Toh Hume Bhi Exercise Bata Dena,Positive
"अगर सिफ चूचा दबान स निकलता दूध, तो हर बच्चा का शिकार होता cc@ और अगर ना होते चूतड़ और चूत तो मर्दों को कहां किसी से प्यार होता! ! कुसोषण",Neutral
जिस लड़की के फोन मे नेट हे वो कही न कही सेट हे,Positive
Aapke itne Nakhre koun. Jhelega Jlo Pelee whidheleed,Neutral
"Nurse to Pathan outside Delivery Room: Nurseः ""Khan Saab, mubarak ho. Aapko judwaa bachche paida huye hain"" Pathan: ""Subhan Allah. Humne koshish bhi toh dono taraf se ki thi ० २",Positive
एक भी अश्लील शब्द बिना इस्तमाल किये छोटा सा नॉन- बेज मज़ाकः डॉक्टरः ऊलटी होती है क्या? औरतः आप बोलो तो हो जाती हूँ| डॉक्टर बेहोश ||,Neutral
phle wO rose dega Fir wO roj lega Mleme lover 5 Sv७antbe Stalztabe,Negative
"पत्नी खाना खाते खातेः डाल दो| पतिः खाना तो खा लेने दे, हवस की पुजारन| पत्नीः कमीने , मैं दाल मांग रही हूँ|",Neutral
MUSG-BAL Qadaलllo Pleaseआप तबाइकरदो MUSCGEBALI मुझे,Neutral
Best way to such hot in just 3 months Before After borco0ane1 get body,Positive
This is how girls choose boys Jo Gora Hai Wo Sundar Hai.,Negative
पड़ोस की भाभी अपने नवजात शिशु को दूध पिला रही थी..!! यह देख पास बैठी उनकी सहेली बोली बिल्कुल अपर्ने बाप की तरह चुसता ील2320,Neutral
Akash Haritwal @Brahmanism He love you :) She Shakal dekhi hai..?? He Mujhe tere se pyaar hai.. teri shakal se nhi : She,Negative
"1[ N़ [L|3 Jumhe Kaise Ladka Chahije३ Jo Mujhe Love de Timede Respect de, Aur Tumhe kaiseladk Chahip? ७| N BDE BasJo MufheDe",Positive
"ब्रह्चारी Cbf""@ @lamCbf *At Gym* १: Bhai 6 pack kitne din me aa jayenge? ३ः Yeh John Abraham jaise biceps kitne din me ban jayenge? ६ः Sirf pet thoda andar karwa do 8: Woh hot chick jo selfie lete rahti thi, 2 din se ni dikhi, chhod gayi kya? ११: Refund ka kuch system h? Day Day Day bus Day Day",Positive
"अर्ज़ किया है अगर हाथो के रगड़ने से चेहरा गोरा होता, तो आपसे ज्यादा खूबसूरत आपका होता| लौड़ा",Neutral
Esa banda pataa liya hai jiske aagein mai hi red flag lagti hu (Ab kalesh kese kru) @lamethoughts,Positive
अर्थ का अनर्थः एक लिफ्ट पर दो नोट लिखे थ १. महिलाओ का खास ख्याल रखें २. एक बार में 6 से ज्यादा आदमी न चढें,Positive
Kal Band Rahega @_.chutigepe= Aaj he le Lena... GHUIKIP,Positive
One man many Characters B HARA T -Kabeen_ Ab ghodo ki race me gadhe bhi daugenge,Neutral
mujhe dhoti utarne par majboor mat karo tianain CanDill harecore,Negative
9:28 D Hrithik Roshan १६M people like this including Raina Lipi and २७३ friends Artist Sir | am your biggest fan Your dancing skills are amazing Sir please reply Mere paas bournvita hai Hli Aa,Neutral
अच्छीं बात है॰०० हृख प्रिसन्च हए,Positive
If IDic Dlea5E Laugh Ine LocreThe Se Andlea फर भा३ भा४ भाः,Neutral
PUB G Babita 6,Neutral
"87101%0111- bust 14[-71 [11[-17 said the best ="" CL""5=E5 ttte[ट पस्पसा Dl स२ 77217*",Neutral
Everyone Is A Gangster Until The Real Gangster Walks ID,Neutral
"नारी नारी मत कर बालक , नारी मृत्यु का सार, खुश होके भी क्या दे, देगी मल मूत्र का द्वार| @1^418[1|.811!=7||1+|18-*4818*",Negative
Sir laash ki ankho se khoonnikal raha hai iskamatlab samjhe Unofficial Titu Mama C0 डीr ? ye amit bhodanoki video kya dekh kar mara hai. daya,Negative
[Nob bolegf fta woDg Dar Zum Larlse aana Hardikpandya,Positive
अपनी गर्लफ्रेंड का mood जानने के लिए पहल एक दबाएं॰ S}] DOILLNLNVUL mood अच्छा हो तो dono दवाएं..!६ १l,Negative
[ भाई एकबातबता..ये ProposeDayt कौनसा Bodypart करते हें MUSCEEBALI SHQ NAHI DEADLIFTKARO,Positive
Binaluch Yfgothak jati १l,Negative
छोरी के खातिर भ भूलल,Neutral
"Meri toh photos bhi acchi nahi aati, din acche kahan se aayenge Clamethoughts",Positive
Ek aurat sirf apne pasandita mard ke liye khudko badalti hai ऐगl Ghutigppa GiUu,Positive
भरी जवानी में पागल हो चुके हो. Ulallaliula Gullullll बेटा तुम,Negative
Iwant to see perpendlcular Zr DIAED |said perpendicular let kai hila lall Perfect,Positive
"Daya TV Chala TV Par ३० ieet ka sanp Dikha Rhe Hai 4304""70 auaacप""ना 01=17""4950 Koi Fayda Nhl Tappu He pappa Hum nhi Dekh sakte Kyonki -0212 Hamara Tvsirf २१ Inch ka hal",Neutral
Papa ka naam bolo Ranveer! Ranbir Ranbir Ranveer!!! L#wde Ranbir Ltwde Honey im L#wde Omgl who taught you that word? Ranveer. home,Positive
He is my boyfriend Uchta Realial Patti hai wo mere,Neutral
पगलीDANK CONNUNIT घुमा लाऊ,Negative
७० Ladki AahaAah . Aah aahi aah @[wb33[79 O. Ye Toh mera wala gaana hai,Negative
